Token1,Token2,Protocol,PoolID,Rating,ROI,StrategyRating
USDT(ETH),USDT(ETH),across,1daad8ac-d79a-491d-b972-e57bf98991b5,2565972341,10.16552,1282986170.5
USDC(ARB),USDC(ARB),deltaprime,41ef5890-d6f4-4c54-9c39-4505a7bac672,1772538879,12.23226,1772538879
MIM(ARB),USDC(ARB),abracadabra,2ea4ba12-e40a-4b01-8731-7f5dd79f651d,1700875107,39.96546,850437553.5
axlUSDT(Kava),USDT(Kava),curve-dex,d6a62f99-dad9-43ce-9900-58d3b7fd1ecd,774301699,18.28896,258100566.33333334
USDC(OP),SUSD(OP),velodrome-v2,9d4a4ef4-dfb1-4c89-8daf-66aa70ca8586,739767888,14.18516,295907155.2
DAI(ETH),DAI(ETH),yearn-finance,3fbb0e46-2efe-47cc-acbe-5c892fa56845,319404060,16.42783,319404060
